,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
0,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1,chevrolet chevelle malibu
1,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1,buick skylark 320
2,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1,plymouth satellite
3,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1,amc rebel sst
4,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1,ford torino
5,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1,ford galaxie 500
6,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1,chevrolet impala
7,14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1,plymouth fury iii
8,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1,pontiac catalina
9,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1,amc ambassador dpl
10,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1,dodge challenger se
11,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1,plymouth 'cuda 340
12,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1,chevrolet monte carlo
13,14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1,buick estate wagon (sw)
14,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3,toyota corona mark ii
15,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1,plymouth duster
16,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1,amc hornet
17,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1,ford maverick
18,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3,datsun pl510
19,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2,volkswagen 1131 deluxe sedan
20,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2,peugeot 504
21,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2,audi 100 ls
22,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2,saab 99e
23,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2,bmw 2002
24,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1,amc gremlin
25,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1,ford f250
26,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1,chevy c20
27,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1,dodge d200
28,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1,hi 1200d
29,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3,datsun pl510
30,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1,chevrolet vega 2300
31,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3,toyota corona
32,25.0,4.0,98.0,92.0,2046.0,19.0,71.0,1,ford pinto
33,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1,amc gremlin
34,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1,plymouth satellite custom
35,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1,chevrolet chevelle malibu
36,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1,ford torino 500
37,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1,amc matador
38,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1,chevrolet impala
39,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1,pontiac catalina brougham
40,14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1,ford galaxie 500
41,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1,plymouth fury iii
42,12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1,dodge monaco (sw)
43,13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1,ford country squire (sw)
44,13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1,pontiac safari (sw)
45,18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1,amc hornet sportabout (sw)
46,22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1,chevrolet vega (sw)
47,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1,pontiac firebird
48,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1,ford mustang
49,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1,mercury capri 2000
50,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2,opel 1900
51,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2,peugeot 304
52,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2,fiat 124b
53,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3,toyota corolla 1200
54,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3,datsun 1200
55,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2,volkswagen model 111
56,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1,plymouth cricket
57,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3,toyota corona hardtop
58,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1,dodge colt hardtop
59,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2,volkswagen type 3
60,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1,chevrolet vega
61,21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1,ford pinto runabout
62,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1,chevrolet impala
63,14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1,pontiac catalina
64,15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1,plymouth fury iii
65,14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1,ford galaxie 500
66,17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1,amc ambassador sst
67,11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1,mercury marquis
68,13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1,buick lesabre custom
69,12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1,oldsmobile delta 88 royale
70,13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1,chrysler newport royal
71,19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3,mazda rx2 coupe
72,15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1,amc matador (sw)
73,13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1,chevrolet chevelle concours (sw)
74,13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1,ford gran torino (sw)
75,14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1,plymouth satellite custom (sw)
76,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2,volvo 145e (sw)
77,22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2,volkswagen 411 (sw)
78,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2,peugeot 504 (sw)
79,26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2,renault 12 (sw)
80,22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1,ford pinto (sw)
81,28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3,datsun 510 (sw)
82,23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3,toyouta corona mark ii (sw)
83,28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1,dodge colt (sw)
84,27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3,toyota corolla 1600 (sw)
85,13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1,buick century 350
86,14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1,amc matador
87,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1,chevrolet malibu
88,14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1,ford gran torino
89,15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1,dodge coronet custom
90,12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1,mercury marquis brougham
91,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1,chevrolet caprice classic
92,13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1,ford ltd
93,14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1,plymouth fury gran sedan
94,13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1,chrysler new yorker brougham
95,12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1,buick electra 225 custom
96,13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1,amc ambassador brougham
97,18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1,plymouth valiant
98,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1,chevrolet nova custom
99,18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1,amc hornet
100,18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1,ford maverick
101,23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1,plymouth duster
102,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2,volkswagen super beetle
103,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1,chevrolet impala
104,12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1,ford country
105,13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1,plymouth custom suburb
106,12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1,oldsmobile vista cruiser
107,18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1,amc gremlin
108,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3,toyota carina
109,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1,chevrolet vega
110,22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3,datsun 610
111,18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3,maxda rx3
112,19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1,ford pinto
113,21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1,mercury capri v6
114,26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2,fiat 124 sport coupe
115,15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1,chevrolet monte carlo s
116,16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1,pontiac grand prix
117,29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2,fiat 128
118,24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2,opel manta
119,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2,audi 100ls
120,19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2,volvo 144ea
121,15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1,dodge dart custom
122,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2,saab 99le
123,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3,toyota mark ii
124,11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1,oldsmobile omega
125,20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1,plymouth duster
126,21.0,6.0,200.0,320.0,2875.0,17.0,74.0,1,ford maverick
127,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1,amc hornet
