cart_value,num_items,device,time_on_site,prev_purchase,country,payment_method,discount_applied,user_type,cart_abandon_yn
267.87,5,mobile,,Y,JP,card,N,guest,1
293.92,5,tablet,8.54,Y,CN,card,N,registered,0
33.67,9,mobile,7.16,Y,US,paypal,N,guest,0
102.33,8,tablet,4.13,N,CN,card,Y,guest,0
348.93,6,mobile,7.59,N,Others,card,N,guest,0
420.27,1,desktop,13.26,N,KR,bank_transfer,N,guest,0
167.34,3,desktop,7.99,Y,US,card,N,registered,1
448.93,1,desktop,6.32,Y,US,bank_transfer,N,guest,0
366.34,3,tablet,8.11,N,JP,paypal,N,guest,0
111.17,4,tablet,10.14,N,Others,paypal,Y,registered,0
286.03,1,tablet,6.62,N,US,card,N,registered,0
189.02,1,desktop,11.4,N,KR,paypal,N,registered,1
107.31,4,desktop,9.34,N,US,bank_transfer,Y,guest,0
397.09,5,desktop,8.75,N,KR,bank_transfer,N,guest,0
483.43,5,mobile,6.66,N,JP,card,N,guest,1
131.53,4,desktop,7.54,N,KR,paypal,N,registered,0
60.11,7,tablet,8.0,N,KR,bank_transfer,N,guest,0
309.7,8,tablet,9.53,N,US,paypal,Y,guest,0
369.92,3,tablet,9.81,Y,KR,card,Y,guest,1
152.59,6,mobile,9.93,Y,CN,bank_transfer,N,registered,1
348.95,9,desktop,8.38,N,US,card,Y,registered,0
268.58,5,desktop,10.7,N,KR,bank_transfer,N,registered,0
43.27,2,tablet,5.84,Y,JP,paypal,Y,guest,0
86.18,4,desktop,6.15,Y,KR,card,N,registered,1
109.74,9,mobile,9.78,N,CN,paypal,Y,guest,0
497.27,3,tablet,6.8,N,CN,card,N,registered,1
269.92,8,mobile,9.45,N,KR,paypal,Y,registered,0
297.82,1,tablet,10.17,Y,JP,bank_transfer,N,guest,0
372.71,7,mobile,11.09,N,JP,paypal,N,registered,1
280.14,7,mobile,7.04,N,US,bank_transfer,N,registered,0
458.31,2,tablet,8.93,Y,CN,paypal,N,guest,0
,3,tablet,9.77,N,Others,bank_transfer,Y,guest,0
213.44,9,tablet,10.46,Y,Others,bank_transfer,Y,guest,0
191.47,1,mobile,5.02,N,KR,bank_transfer,N,guest,0
477.38,9,desktop,12.97,Y,Others,bank_transfer,N,guest,0
184.94,5,tablet,2.09,N,Others,paypal,Y,registered,0
435.25,6,desktop,7.56,N,Others,paypal,Y,registered,0
418.53,7,desktop,6.73,N,JP,bank_transfer,N,guest,0
278.32,4,tablet,,N,CN,bank_transfer,Y,guest,0
