rate_math,rate_science,rate_english,rate_humanities,rate_art,tot_time,device,gender,age,resub_yn,comb_yn,othersub_yn,leave_yn
0.375,0.797,0.828,0.896,0.394,17.09,mobile,M,30,N,N,Y,1
0.951,0.482,0.765,0.909,0.473,28.57,tablet,F,25,N,Y,N,1
0.732,0.117,0.574,0.314,0.855,40.97,tablet,F,24,N,N,N,0
0.599,0.125,0.956,0.691,0.34,8.09,mobile,M,14,Y,N,N,1
0.156,0.686,0.2,0.272,0.87,45.34,tablet,F,15,Y,N,N,0
0.156,,0.109,0.191,0.088,41.22,tablet,F,47,Y,Y,N,0
0.058,,0.854,0.185,0.777,25.4,mobile,F,12,N,N,Y,0
0.866,0.492,0.439,0.342,0.848,35.43,tablet,M,57,N,N,Y,0
0.601,0.064,0.847,0.43,0.182,30.03,pc,F,21,N,N,Y,0
0.708,0.582,0.893,0.831,0.43,42.3,tablet,M,45,N,N,Y,0
0.021,,0.062,0.12,0.165,39.83,mobile,F,42,N,N,N,0
0.97,0.798,0.883,0.735,0.707,16.0,pc,M,45,N,Y,Y,0
0.832,0.31,0.448,0.531,0.535,35.87,pc,M,42,Y,Y,N,0
0.212,0.455,0.51,0.288,0.635,27.94,tablet,M,40,Y,N,N,0
0.182,0.012,0.627,0.493,0.196,30.83,pc,F,30,N,N,Y,0
0.183,0.072,0.926,0.3,0.212,22.72,mobile,M,36,N,Y,Y,0
0.304,0.392,0.019,0.596,0.041,47.48,pc,F,36,N,N,Y,1
0.525,0.48,0.477,0.434,0.322,40.4,tablet,M,17,N,N,Y,0
0.432,0.6,0.688,0.164,0.56,22.6,tablet,F,46,N,N,N,0
0.291,,0.723,0.117,0.858,16.65,pc,M,41,Y,Y,Y,1
0.612,0.695,0.693,0.547,0.667,26.14,mobile,F,35,Y,Y,N,0
0.139,,0.134,0.902,0.435,34.35,mobile,M,11,N,N,N,1
0.292,0.78,0.299,0.344,0.953,32.4,tablet,M,21,N,N,N,0
0.366,0.04,0.359,0.733,0.719,42.53,tablet,M,31,Y,N,N,0
0.456,0.481,0.804,0.659,0.93,37.9,mobile,F,26,Y,N,Y,0
0.785,0.105,0.279,0.932,0.528,,pc,M,16,Y,N,Y,0
0.2,0.242,0.211,0.821,0.259,33.27,pc,M,52,N,N,Y,0
0.514,0.987,0.957,0.567,0.053,,pc,M,13,N,N,Y,1
0.592,0.142,0.009,0.657,0.726,28.04,pc,M,46,Y,N,N,1
0.046,0.499,0.998,0.898,0.121,40.6,mobile,F,47,Y,N,N,0
0.608,0.618,0.677,0.4,0.303,29.48,tablet,M,41,Y,N,Y,1
0.171,0.702,0.828,0.327,0.532,,tablet,M,20,N,N,Y,0
0.065,0.56,0.295,0.011,0.564,26.81,pc,F,10,Y,N,Y,0
0.949,0.01,0.014,0.827,0.601,19.7,mobile,F,34,N,N,N,0
0.966,0.326,0.738,0.801,0.166,28.77,mobile,F,51,Y,N,N,1
