years_experience,salary,education_level,department,overtime,job_satisfaction,work_life_balance,attrition
15.0,54.6,master,finance,N,3,4,1
5.6,116.6,bachelor,hr,N,3,2,1
11.0,32.2,phd,hr,N,4,2,1
16.2,82.2,phd,sales,Y,1,3,1
12.4,97.7,high_school,engineering,N,2,3,1
8.7,84.0,master,hr,Y,4,4,1
,,phd,hr,N,3,4,0
7.2,72.7,master,marketing,N,4,1,0
5.8,109.7,master,marketing,N,4,2,0
11.8,40.4,high_school,engineering,N,2,4,1
13.1,66.0,high_school,marketing,N,2,1,1
2.9,91.7,bachelor,engineering,N,4,1,1
2.0,97.9,master,engineering,N,3,2,0
11.1,88.2,master,hr,Y,3,1,0
13.4,48.0,high_school,marketing,N,2,3,1
4.4,42.8,high_school,finance,N,1,1,1
0.5,66.8,bachelor,finance,Y,1,4,0
2.5,69.9,high_school,engineering,Y,3,4,0
14.9,118.0,master,hr,N,2,2,0
10.8,86.9,phd,finance,N,3,3,0
1.7,114.9,master,finance,N,4,3,1
15.2,50.6,bachelor,sales,N,2,1,0
0.6,85.3,high_school,finance,N,3,1,1
10.8,41.9,bachelor,hr,N,3,3,1
20.0,74.1,high_school,finance,N,1,2,1
0.2,97.5,phd,sales,Y,2,3,0
19.0,,phd,marketing,N,3,1,0
1.3,34.6,high_school,engineering,N,3,4,0
8.1,96.4,bachelor,finance,N,2,4,0
10.2,57.5,phd,sales,N,2,3,1
6.2,57.7,phd,finance,Y,4,2,1
13.4,38.7,high_school,hr,N,1,4,0
10.1,30.3,high_school,marketing,Y,4,3,0
4.3,119.7,phd,engineering,N,3,3,0
1.5,97.7,high_school,marketing,N,1,3,1
,52.5,high_school,engineering,Y,2,4,0
7.2,44.9,bachelor,sales,Y,1,1,0
4.1,110.3,phd,sales,N,4,4,0
6.1,88.3,master,sales,N,1,4,1
14.2,84.7,phd,hr,N,3,4,1
18.8,58.2,high_school,finance,N,2,2,0
18.2,32.7,high_school,finance,N,4,3,0
19.8,44.8,phd,marketing,N,2,4,1
15.5,87.7,high_school,sales,N,4,2,1
13.7,33.0,bachelor,engineering,N,3,4,0
16.4,95.1,bachelor,sales,Y,3,1,1
18.6,,master,marketing,Y,1,1,1
16.4,85.0,high_school,marketing,N,3,2,0
5.4,72.6,high_school,sales,N,4,1,0
16.4,84.9,high_school,sales,N,2,2,1
18.0,44.4,master,finance,N,4,4,1
2.8,88.4,phd,sales,N,3,3,1
18.4,51.8,high_school,marketing,N,2,4,0
3.7,106.8,high_school,hr,N,3,2,1
14.2,73.4,phd,finance,N,2,4,0
1.7,92.3,bachelor,hr,Y,1,1,0
14.1,51.4,phd,hr,Y,3,4,0
4.0,112.6,phd,finance,Y,3,4,0
16.2,102.5,phd,sales,N,2,2,1
4.5,84.9,phd,hr,Y,3,3,0
13.0,89.7,bachelor,sales,Y,1,4,0
5.9,103.2,master,hr,N,3,4,1
3.7,63.0,bachelor,hr,N,4,3,0
16.2,115.3,bachelor,finance,Y,1,3,0
13.5,112.8,high_school,marketing,Y,1,2,0
1.0,116.7,master,engineering,Y,1,2,0
18.1,88.1,high_school,hr,N,4,4,1
12.5,55.2,phd,finance,N,4,2,0
16.2,91.0,master,hr,N,1,4,1
10.1,86.9,bachelor,engineering,N,1,1,1
3.0,34.0,bachelor,hr,N,2,3,1
1.4,95.8,phd,marketing,N,1,1,1
13.0,87.0,phd,marketing,Y,4,3,0
9.2,71.3,bachelor,hr,Y,2,4,0
4.4,50.2,phd,hr,N,4,1,0
8.3,62.6,bachelor,sales,N,3,4,0
