fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,quality,alcohol
7,0.27,0.36,20.7,45,45,170,1.001,3,0.45,6,"R$ 45.512,00"
6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,6,"R$ 45.421,00"
8.1,0.28,0.4,6.9,0.05,30,97,9.951,3.26,0.44,6,"R$ 45.301,00"
7.2,0.23,0.32,8.5,58,47,186,9.956,3.19,0.4,6,"R$ 45.544,00"
7.2,0.23,0.32,8.5,58,47,186,9.956,3.19,0.4,6,"R$ 45.544,00"
8.1,0.28,0.4,6.9,0.05,30,97,9.951,3.26,0.44,6,"R$ 45.301,00"
6.2,0.32,0.16,7,45,30,136,9.949,3.18,0.47,6,"R$ 45.452,00"
7,0.27,0.36,20.7,45,45,170,1.001,3,0.45,6,"R$ 45.512,00"
6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,6,"R$ 45.421,00"
8.1,0.22,0.43,1.5,44,28,129,9.938,3.22,0.45,6,"R$ 11,00"
8.1,0.27,0.41,1.45,33,11,63,9.908,2.99,0.56,5,"R$ 12,00"
8.6,0.23,0.4,4.2,35,17,109,9.947,3.14,0.53,5,"R$ 45.482,00"
7.9,0.18,0.37,1.2,0.04,16,75,992,3.18,0.63,5,"R$ 45.514,00"
6.6,0.16,0.4,1.5,44,48,143,9.912,3.54,0.52,7,"R$ 45.394,00"
8.3,0.42,0.62,19.25,0.04,41,172,1.2002,2.98,0.67,5,"R$ 45.482,00"
6.6,0.17,0.38,1.5,32,28,112,9.914,3.25,0.55,7,"R$ 45.393,00"
6.3,0.48,0.04,1.1,46,30,99,9.928,3.24,0.36,6,"R$ 45.452,00"
6.2,0.66,0.48,1.2,29,29,75,9.892,3.33,0.39,8,"R$ 45.516,00"
7.4,0.34,0.42,1.1,33,17,171,9.917,3.12,0.53,6,"R$ 45.362,00"
6.5,0.31,0.14,7.5,44,34,133,9.955,3.22,0.5,5,"R$ 45.421,00"
6.2,0.66,0.48,1.2,29,29,75,9.892,3.33,0.39,8,"R$ 45.516,00"
6.4,0.31,0.38,2.9,38,19,102,9.912,3.17,0.35,7,"R$ 11,00"
6.8,0.26,0.42,1.7,49,41,122,993,3.47,0.48,8,"R$ 45.422,00"
7.6,0.67,0.14,1.5,74,25,168,9.937,03.05,0.51,5,"R$ 45.360,00"
6.6,0.27,0.41,1.3,52,16,142,9.951,3.42,0.47,6,"R$ 10,00"
